run,TP.c,TP.q,TP.lyg,TP.death.other,TP.death.stroke,TP.death.bleed,TP.stroke.dep,TP.stroke.indep,TP.bleed.ich,TP.bleed.nich,TP.count.p.dep,TP.count.p.indep,TP.count.p.ich,TP.count.p.nich,FN.c,FN.q,FN.lyg,FN.death.other,FN.death.stroke,FN.death.bleed,FN.stroke.dep,FN.stroke.indep,FN.bleed.ich,FN.bleed.nich,FN.count.p.dep,FN.count.p.indep,FN.count.p.ich,FN.count.p.nich,TN.c,TN.q,TN.lyg,TN.death.other,TN.death.stroke,TN.death.bleed,TN.stroke.dep,TN.stroke.indep,TN.bleed.ich,TN.bleed.nich,TN.count.p.dep,TN.count.p.indep,TN.count.p.ich,TN.count.p.nich,FP.c,FP.q,FP.lyg,FP.death.other,FP.death.stroke,FP.death.bleed,FP.stroke.dep,FP.stroke.indep,FP.bleed.ich,FP.bleed.nich,FP.count.p.dep,FP.count.p.indep,FP.count.p.ich,FP.count.p.nich
210,19351.4246,12.19941,26.88684,0.6278,0.3082,0.064,0.32,0.5998,0.033,0.4224,0.1852,0.3978,0.033,0.4224,14677.50685,10.78586,24.90287,0.5744,0.3876,0.038,0.3774,0.7482,0.0196,0.2436,0.231,0.5174,0.0196,0.2436,1568.11093,14.63782,32.30321,0.873,0.116,0.011,0.1012,0.2478,0.0084,0.0698,0.0768,0.2056,0.0084,0.0698,4400.71125,14.41462,31.17132,0.8484,0.0798,0.0718,0.075,0.1694,0.0372,0.4724,0.0512,0.1302,0.0372,0.4724
211,18201.63411,12.72081,28.11868,0.6958,0.2544,0.0498,0.305,0.514,0.0592,0.4588,0.185,0.357,0.0592,0.4588,14128.98537,11.00765,25.80131,0.6224,0.3442,0.0334,0.4048,0.7054,0.0354,0.2734,0.2544,0.504,0.0354,0.2734,423.30661,14.68649,32.46901,0.8912,0.1004,0.0084,0.1048,0.2216,0.0126,0.077,0.0816,0.187,0.0126,0.077,1762.92196,14.61632,31.75859,0.8796,0.0668,0.0536,0.0762,0.1446,0.062,0.4902,0.0526,0.111,0.062,0.4902
212,20042.69347,12.3409,27.11021,0.6392,0.2818,0.079,0.3328,0.574,0.037,0.5296,0.192,0.3882,0.037,0.5296,17188.81713,10.97831,25.43869,0.5944,0.3578,0.0478,0.4112,0.7292,0.0222,0.3174,0.247,0.504,0.0222,0.3174,1345.67803,14.75514,32.52673,0.8878,0.099,0.0132,0.0988,0.2214,0.0074,0.084,0.0758,0.1808,0.0074,0.084,4988.86372,14.31378,30.87188,0.842,0.0736,0.0844,0.0828,0.1606,0.0412,0.5742,0.057,0.1242,0.0412,0.5742
213,17538.44427,12.2497,27.04372,0.64,0.2844,0.0756,0.3244,0.5266,0.0314,0.4372,0.1954,0.3656,0.0314,0.4372,13514.02496,10.91966,25.26091,0.5892,0.3648,0.046,0.3992,0.6856,0.0182,0.2482,0.2526,0.49,0.0182,0.2482,912.60594,14.642,32.31587,0.8786,0.1084,0.013,0.1102,0.2184,0.0078,0.067,0.0848,0.184,0.0078,0.067,3922.7358,14.23255,30.68901,0.8394,0.0766,0.084,0.0854,0.1486,0.034,0.4836,0.0578,0.1172,0.034,0.4836
214,16493.59698,12.30253,26.97693,0.623,0.2978,0.0792,0.3378,0.4884,0.0394,0.4828,0.205,0.345,0.0394,0.4828,14455.50819,10.77291,24.78355,0.567,0.3858,0.0472,0.413,0.6494,0.024,0.274,0.2656,0.4692,0.024,0.274,1594.02723,14.65407,32.29956,0.8708,0.1132,0.016,0.1158,0.2078,0.0094,0.0874,0.089,0.1782,0.0094,0.0874,3220.45823,14.36421,30.93521,0.8354,0.0772,0.0874,0.083,0.1386,0.0434,0.5266,0.0586,0.1126,0.0434,0.5266
215,20926.02787,12.43216,27.34638,0.6516,0.2648,0.0836,0.3262,0.535,0.0544,0.4888,0.1912,0.3578,0.0544,0.4888,14971.36071,10.85202,25.37006,0.5986,0.3508,0.0506,0.4122,0.7214,0.0318,0.281,0.2564,0.5154,0.0318,0.281,1214.19761,14.65172,32.37087,0.881,0.1048,0.0142,0.1058,0.235,0.0112,0.0748,0.0832,0.1974,0.0112,0.0748,5753.93771,14.24578,30.73925,0.8382,0.0726,0.0892,0.0808,0.1592,0.0588,0.516,0.0568,0.121,0.0588,0.516
216,19124.93699,12.64799,27.90873,0.6816,0.2508,0.0676,0.2832,0.4958,0.049,0.4594,0.1724,0.3408,0.049,0.4594,13882.61621,11.12151,25.89352,0.6172,0.3408,0.042,0.3746,0.6886,0.0284,0.261,0.241,0.5002,0.0284,0.261,1072.65635,14.66119,32.36798,0.8854,0.1034,0.0112,0.1018,0.221,0.0112,0.0734,0.079,0.186,0.0112,0.0734,6082.07837,14.4322,31.31085,0.8586,0.0684,0.073,0.0752,0.1456,0.0506,0.4954,0.0522,0.1132,0.0506,0.4954
217,19116.88669,11.97369,26.25415,0.6264,0.2972,0.0764,0.3028,0.5846,0.0594,0.417,0.18,0.3916,0.0594,0.417,14253.87515,10.81441,24.78339,0.5698,0.3844,0.0458,0.3764,0.7532,0.0324,0.2346,0.2256,0.5182,0.0324,0.2346,1420.27203,14.75108,32.5459,0.8908,0.0984,0.0108,0.089,0.2088,0.0086,0.0556,0.066,0.1734,0.0086,0.0556,6082.5608,14.22697,30.78452,0.8438,0.072,0.0842,0.0648,0.1552,0.063,0.4608,0.0456,0.1166,0.063,0.4608
218,18264.16824,12.43805,27.5024,0.668,0.2582,0.0738,0.3034,0.6006,0.0448,0.4692,0.1824,0.3902,0.0448,0.4692,15555.14985,11.0831,25.77761,0.6164,0.3384,0.0452,0.392,0.782,0.0274,0.268,0.2414,0.5372,0.0274,0.268,2046.82747,14.66377,32.57868,0.8838,0.1024,0.0138,0.0986,0.2606,0.0106,0.0794,0.077,0.2178,0.0106,0.0794,4753.58318,14.34842,31.09651,0.8486,0.0714,0.08,0.0836,0.176,0.0474,0.5042,0.0542,0.1332,0.0474,0.5042
219,18016.51746,12.68834,27.99674,0.6908,0.2402,0.069,0.2982,0.4466,0.063,0.4288,0.18,0.3192,0.063,0.4288,13609.76193,11.03708,25.83568,0.6198,0.337,0.0432,0.3876,0.6546,0.0364,0.2484,0.2562,0.4876,0.0364,0.2484,1302.58626,14.61184,32.41047,0.8812,0.1056,0.0132,0.1132,0.219,0.0134,0.0746,0.0904,0.193,0.0134,0.0746,3870.49941,14.42416,31.25252,0.8576,0.068,0.0744,0.08,0.1372,0.0664,0.461,0.0552,0.1078,0.0664,0.461
220,18722.66236,12.4708,27.60416,0.6752,0.2622,0.0626,0.3234,0.5012,0.0458,0.4794,0.1892,0.35,0.0458,0.4794,14432.87808,11.06236,25.80621,0.617,0.3442,0.0388,0.4042,0.6836,0.0258,0.2682,0.255,0.4982,0.0258,0.2682,1377.09223,14.60106,32.35881,0.8834,0.1066,0.01,0.1108,0.2268,0.0096,0.0748,0.087,0.1902,0.0096,0.0748,6263.34351,14.32356,31.07818,0.8572,0.0752,0.0676,0.0912,0.1562,0.0484,0.511,0.0614,0.1238,0.0484,0.511
221,22456.04408,12.1794,26.88347,0.641,0.2626,0.0964,0.3584,0.5636,0.0542,0.4658,0.2072,0.3726,0.0542,0.4658,16012.47593,10.9921,25.5907,0.6012,0.3368,0.062,0.4418,0.7316,0.031,0.278,0.2692,0.511,0.031,0.278,2192.16344,14.59944,32.36307,0.8752,0.1044,0.0204,0.117,0.2504,0.009,0.0858,0.088,0.2066,0.009,0.0858,6616.03773,14.03644,30.29599,0.8174,0.0756,0.107,0.0934,0.1778,0.0622,0.5062,0.0642,0.132,0.0622,0.5062
222,18514.9171,12.7069,27.94342,0.6812,0.268,0.0508,0.2984,0.5156,0.0528,0.4864,0.1766,0.354,0.0528,0.4864,15699.21553,10.93884,25.4978,0.613,0.3544,0.0326,0.3796,0.7,0.0284,0.2712,0.2398,0.5022,0.0284,0.2712,1383.66056,14.71234,32.46597,0.8866,0.1052,0.0082,0.104,0.218,0.0094,0.0756,0.0776,0.1896,0.0094,0.0756,4602.41816,14.52815,31.61549,0.8728,0.0732,0.054,0.073,0.1522,0.0546,0.5118,0.0526,0.1194,0.0546,0.5118
223,19398.14542,12.18158,26.81733,0.6368,0.2826,0.0806,0.3364,0.4752,0.056,0.4432,0.2014,0.3372,0.056,0.4432,14361.4378,10.82059,25.06709,0.5872,0.3658,0.047,0.4204,0.6304,0.0298,0.242,0.2676,0.4636,0.0298,0.242,757.23401,14.64001,32.30835,0.8766,0.1102,0.0132,0.1162,0.2078,0.0108,0.0682,0.091,0.179,0.0108,0.0682,5579.92387,14.12169,30.51567,0.8356,0.0766,0.0878,0.0874,0.1378,0.0604,0.4798,0.0596,0.1096,0.0604,0.4798
224,17066.18882,12.19443,26.77653,0.6316,0.2798,0.0886,0.3042,0.522,0.0402,0.4238,0.1804,0.366,0.0402,0.4238,13891.74509,10.95207,25.17235,0.5816,0.3634,0.055,0.3786,0.6982,0.0222,0.2474,0.2398,0.5,0.0222,0.2474,1902.45219,14.65386,32.2713,0.8682,0.1144,0.0174,0.1094,0.237,0.0074,0.0734,0.0838,0.1962,0.0074,0.0734,3866.85108,14.20121,30.54598,0.8204,0.0824,0.0972,0.0868,0.1718,0.0436,0.4724,0.0608,0.13,0.0436,0.4724
225,18303.93687,12.38253,27.40311,0.6658,0.277,0.0572,0.3628,0.5028,0.0408,0.4568,0.2118,0.3532,0.0408,0.4568,15091.36685,10.85825,25.42397,0.5964,0.3658,0.0378,0.4512,0.676,0.0238,0.2724,0.2836,0.484,0.0238,0.2724,1382.26053,14.62219,32.36391,0.8818,0.1088,0.0094,0.1224,0.218,0.0086,0.0792,0.0958,0.1856,0.0086,0.0792,4222.48879,14.44882,31.31272,0.8628,0.0746,0.0626,0.092,0.148,0.0434,0.4998,0.0672,0.1186,0.0434,0.4998
226,16559.38051,12.35712,27.35962,0.663,0.279,0.058,0.3118,0.5634,0.0424,0.4446,0.1878,0.3874,0.0424,0.4446,13358.3566,11.05069,25.57188,0.6042,0.361,0.0348,0.3906,0.729,0.0244,0.2492,0.2364,0.5098,0.0244,0.2492,1295.70816,14.64,32.40291,0.8804,0.11,0.0096,0.1044,0.2474,0.0086,0.066,0.078,0.2042,0.0086,0.066,4040.74134,14.37814,31.13206,0.8598,0.0768,0.0634,0.0848,0.165,0.046,0.4874,0.059,0.1264,0.046,0.4874
