run,TP.c,TP.q,TP.lyg,TP.death.other,TP.death.stroke,TP.death.bleed,TP.stroke.dep,TP.stroke.indep,TP.bleed.ich,TP.bleed.nich,TP.count.p.dep,TP.count.p.indep,TP.count.p.ich,TP.count.p.nich,FN.c,FN.q,FN.lyg,FN.death.other,FN.death.stroke,FN.death.bleed,FN.stroke.dep,FN.stroke.indep,FN.bleed.ich,FN.bleed.nich,FN.count.p.dep,FN.count.p.indep,FN.count.p.ich,FN.count.p.nich,TN.c,TN.q,TN.lyg,TN.death.other,TN.death.stroke,TN.death.bleed,TN.stroke.dep,TN.stroke.indep,TN.bleed.ich,TN.bleed.nich,TN.count.p.dep,TN.count.p.indep,TN.count.p.ich,TN.count.p.nich,FP.c,FP.q,FP.lyg,FP.death.other,FP.death.stroke,FP.death.bleed,FP.stroke.dep,FP.stroke.indep,FP.bleed.ich,FP.bleed.nich,FP.count.p.dep,FP.count.p.indep,FP.count.p.ich,FP.count.p.nich
349,7273.34389,9.30739,18.2141,0.8012,0.142,0.0568,0.1438,0.288,0.0448,0.3116,0.103,0.222,0.0448,0.3116,6709.48387,8.18852,16.89592,0.7236,0.247,0.0294,0.2242,0.5028,0.023,0.1564,0.1744,0.4204,0.023,0.1564,1126.79908,10.13461,19.70609,0.8992,0.0914,0.0094,0.0848,0.1924,0.0086,0.0524,0.0706,0.171,0.0086,0.0524,3657.11913,10.0783,19.43778,0.8984,0.0424,0.0592,0.0424,0.1032,0.0474,0.3266,0.0348,0.085,0.0474,0.3266
350,9448.61774,9.49543,18.61551,0.819,0.1274,0.0536,0.149,0.2598,0.0532,0.3556,0.1016,0.2044,0.0532,0.3556,7737.48822,8.24185,17.0835,0.741,0.2334,0.0256,0.2412,0.4974,0.0274,0.1742,0.1862,0.4132,0.0274,0.1742,1574.17136,10.16234,19.80943,0.907,0.0836,0.0094,0.0874,0.1856,0.0114,0.059,0.074,0.1674,0.0114,0.059,3206.22016,10.10782,19.45435,0.9028,0.0422,0.055,0.0524,0.103,0.0564,0.3702,0.0392,0.0822,0.0564,0.3702
351,7163.16928,9.4284,18.55566,0.8164,0.1426,0.041,0.1434,0.3202,0.031,0.3376,0.0992,0.2488,0.031,0.3376,6582.68881,8.24134,17.06588,0.7428,0.2356,0.0216,0.219,0.536,0.016,0.1658,0.1678,0.4384,0.016,0.1658,1301.5849,10.18411,19.8283,0.9112,0.0822,0.0066,0.078,0.1928,0.006,0.057,0.0624,0.1688,0.006,0.057,2494.49728,10.19205,19.68411,0.9166,0.041,0.0424,0.0456,0.1078,0.0334,0.3564,0.034,0.0888,0.0334,0.3564
352,8658.34364,9.12702,17.99912,0.777,0.1694,0.0536,0.1782,0.3488,0.0358,0.3504,0.123,0.2692,0.0358,0.3504,7782.28257,8.03417,16.68283,0.711,0.2624,0.0266,0.2658,0.5488,0.0198,0.179,0.1948,0.434,0.0198,0.179,1661.67816,10.12782,19.68966,0.9002,0.0908,0.009,0.0926,0.1964,0.009,0.0586,0.0744,0.1694,0.009,0.0586,2774.05116,10.06325,19.33977,0.8938,0.0504,0.0558,0.0554,0.118,0.0378,0.3732,0.0422,0.0956,0.0378,0.3732
353,6297.58178,9.30378,18.26897,0.8006,0.1548,0.0446,0.1452,0.3434,0.0332,0.3172,0.1066,0.2664,0.0332,0.3172,6801.26392,8.24283,17.02623,0.7286,0.248,0.0234,0.2324,0.5506,0.0182,0.1602,0.172,0.4364,0.0182,0.1602,1561.00318,10.14608,19.73143,0.907,0.0854,0.0076,0.08,0.1984,0.0076,0.0562,0.067,0.1744,0.0076,0.0562,3306.42973,10.16073,19.58663,0.9068,0.0458,0.0474,0.0472,0.1154,0.035,0.3374,0.0364,0.0958,0.035,0.3374
354,8244.31917,9.34777,18.51033,0.8132,0.151,0.0358,0.1618,0.3296,0.0374,0.3202,0.1188,0.2598,0.0374,0.3202,6982.37596,8.24605,17.14496,0.743,0.2384,0.0186,0.25,0.5296,0.02,0.151,0.1884,0.4246,0.02,0.151,1344.28944,10.1304,19.73639,0.9066,0.0878,0.0056,0.0896,0.1994,0.0078,0.0512,0.0744,0.1736,0.0078,0.0512,3213.16456,10.1733,19.67139,0.9128,0.0494,0.0378,0.0574,0.1174,0.0394,0.3388,0.0426,0.0984,0.0394,0.3388
355,6944.20514,9.50505,18.55176,0.8138,0.1382,0.048,0.1492,0.2748,0.0332,0.3986,0.1036,0.2164,0.0332,0.3986,7747.35953,8.23296,17.05492,0.729,0.247,0.024,0.2314,0.5026,0.0176,0.197,0.1806,0.4184,0.0176,0.197,1733.18754,10.13605,19.73966,0.9014,0.0898,0.0088,0.0848,0.1906,0.0072,0.0666,0.0708,0.1678,0.0072,0.0666,2861.82849,10.18311,19.56478,0.903,0.0482,0.0488,0.0478,0.1106,0.0338,0.409,0.0384,0.0888,0.0338,0.409
356,9412.23085,9.27377,18.31165,0.797,0.1588,0.0442,0.1524,0.3486,0.0416,0.3316,0.1082,0.2656,0.0416,0.3316,6832.8234,8.22256,16.96567,0.7302,0.2478,0.022,0.2346,0.5454,0.023,0.1608,0.1716,0.4348,0.023,0.1608,1211.964,10.15215,19.73661,0.9082,0.0854,0.0064,0.079,0.1984,0.0088,0.0504,0.064,0.1716,0.0088,0.0504,3457.8024,10.1402,19.54017,0.909,0.0452,0.0458,0.0468,0.114,0.0438,0.3462,0.0354,0.093,0.0438,0.3462
357,7495.01957,9.19098,18.07848,0.781,0.1572,0.0618,0.1618,0.3302,0.0258,0.347,0.1154,0.2582,0.0258,0.347,7324.15257,8.22691,17.01106,0.7264,0.243,0.0306,0.2468,0.5228,0.0136,0.1666,0.185,0.4234,0.0136,0.1666,1269.77207,10.13527,19.70581,0.9046,0.0856,0.0098,0.0864,0.19,0.0066,0.0558,0.0704,0.1626,0.0066,0.0558,3033.57292,10.07057,19.35611,0.889,0.0472,0.0638,0.0542,0.1126,0.0264,0.364,0.0394,0.0926,0.0264,0.364
358,7830.552,9.47225,18.55896,0.8198,0.1296,0.0506,0.1416,0.2758,0.0532,0.3056,0.1012,0.2164,0.0532,0.3056,6594.50581,8.20341,17.00205,0.74,0.2346,0.0254,0.231,0.5028,0.0266,0.1468,0.1826,0.4198,0.0266,0.1468,1337.94544,10.12249,19.72758,0.9058,0.086,0.0082,0.0882,0.189,0.0102,0.0528,0.0732,0.1694,0.0102,0.0528,3004.2996,10.08238,19.38738,0.9038,0.0432,0.053,0.0518,0.1054,0.0568,0.322,0.0388,0.0846,0.0568,0.322
