run,TP.c,TP.q,TP.lyg,TP.death.other,TP.death.stroke,TP.death.bleed,TP.stroke.dep,TP.stroke.indep,TP.bleed.ich,TP.bleed.nich,TP.count.p.dep,TP.count.p.indep,TP.count.p.ich,TP.count.p.nich,FN.c,FN.q,FN.lyg,FN.death.other,FN.death.stroke,FN.death.bleed,FN.stroke.dep,FN.stroke.indep,FN.bleed.ich,FN.bleed.nich,FN.count.p.dep,FN.count.p.indep,FN.count.p.ich,FN.count.p.nich,TN.c,TN.q,TN.lyg,TN.death.other,TN.death.stroke,TN.death.bleed,TN.stroke.dep,TN.stroke.indep,TN.bleed.ich,TN.bleed.nich,TN.count.p.dep,TN.count.p.indep,TN.count.p.ich,TN.count.p.nich,FP.c,FP.q,FP.lyg,FP.death.other,FP.death.stroke,FP.death.bleed,FP.stroke.dep,FP.stroke.indep,FP.bleed.ich,FP.bleed.nich,FP.count.p.dep,FP.count.p.indep,FP.count.p.ich,FP.count.p.nich
213,7953.76334,9.39504,18.45168,0.8068,0.1368,0.0564,0.1486,0.2736,0.022,0.3134,0.1052,0.2148,0.022,0.3134,6785.79104,8.23474,17.02842,0.7276,0.2446,0.0278,0.2346,0.4944,0.012,0.1422,0.1838,0.4158,0.012,0.1422,1126.92814,10.15376,19.77568,0.9046,0.0862,0.0092,0.0846,0.1808,0.0054,0.0492,0.0704,0.1604,0.0054,0.0492,2923.68279,10.09291,19.42871,0.8974,0.043,0.0596,0.0466,0.0998,0.0236,0.3316,0.0362,0.0796,0.0236,0.3316
214,9134.31902,9.00579,17.75972,0.7498,0.1888,0.0614,0.2044,0.329,0.0308,0.3754,0.1426,0.258,0.0308,0.3754,8703.23353,8.0286,16.53692,0.6972,0.2726,0.0302,0.2766,0.4864,0.0166,0.1846,0.2038,0.3924,0.0166,0.1846,1076.61576,10.1228,19.66773,0.895,0.0932,0.0118,0.096,0.1728,0.0086,0.066,0.078,0.1526,0.0086,0.066,2567.47116,10.04555,19.24896,0.8778,0.0566,0.0656,0.0606,0.1164,0.0338,0.4052,0.0468,0.0968,0.0338,0.4052
215,8952.96729,9.0381,17.82142,0.773,0.1672,0.0598,0.1762,0.3734,0.0372,0.3436,0.1224,0.2852,0.0372,0.3436,7943.40726,8.0446,16.65787,0.7148,0.2554,0.0298,0.2678,0.5602,0.02,0.1742,0.193,0.438,0.02,0.1742,1200.1119,10.11725,19.67011,0.9012,0.0886,0.0102,0.0894,0.2014,0.0084,0.0558,0.071,0.1742,0.0084,0.0558,3528.60111,9.98821,19.18605,0.8882,0.0496,0.0622,0.0524,0.1234,0.04,0.364,0.0412,0.1016,0.04,0.364
216,9565.89121,9.03232,17.95768,0.769,0.1816,0.0494,0.1868,0.3872,0.0352,0.3276,0.133,0.2922,0.0352,0.3276,8093.12271,8.20201,16.91905,0.7192,0.2558,0.025,0.2556,0.5394,0.0192,0.1612,0.1864,0.4198,0.0192,0.1612,1620.82745,10.1208,19.69253,0.9036,0.0882,0.0082,0.0878,0.1942,0.0076,0.0508,0.07,0.1656,0.0076,0.0508,3727.44348,10.06936,19.40853,0.8918,0.0554,0.0528,0.0584,0.1274,0.0366,0.3494,0.0436,0.1036,0.0366,0.3494
217,7423.61035,8.99709,17.7699,0.766,0.1804,0.0536,0.1568,0.3846,0.0378,0.2742,0.1122,0.2932,0.0378,0.2742,6054.04087,8.10955,16.65877,0.7062,0.2664,0.0274,0.2284,0.5646,0.0182,0.1298,0.166,0.4404,0.0182,0.1298,1076.85241,10.21826,19.82916,0.91,0.0818,0.0082,0.0726,0.1846,0.0066,0.0438,0.0588,0.1584,0.0066,0.0438,1583.05841,10.04588,19.2792,0.8958,0.046,0.0582,0.042,0.113,0.0414,0.305,0.0334,0.0934,0.0414,0.305
218,9047.05418,8.90068,17.76672,0.7658,0.1824,0.0518,0.1948,0.4558,0.0312,0.3182,0.1356,0.3324,0.0312,0.3182,7516.40793,8.2201,17.00752,0.726,0.2468,0.0272,0.262,0.6034,0.018,0.1638,0.1874,0.4536,0.018,0.1638,1393.16307,10.16823,19.80717,0.904,0.0872,0.0088,0.0864,0.2212,0.0078,0.0554,0.0662,0.1834,0.0078,0.0554,2769.80368,9.95874,19.16376,0.8862,0.0576,0.0562,0.055,0.1484,0.0334,0.3482,0.0434,0.1172,0.0334,0.3482
219,7316.47684,9.15878,18.00575,0.7862,0.1604,0.0534,0.1756,0.3196,0.0462,0.3222,0.1228,0.2518,0.0462,0.3222,7297.25416,8.16748,16.93653,0.7234,0.2498,0.0268,0.2706,0.5036,0.0242,0.1582,0.1998,0.4112,0.0242,0.1582,1692.31745,10.14891,19.79303,0.9026,0.0884,0.009,0.0936,0.1868,0.0096,0.0548,0.0772,0.165,0.0096,0.0548,2553.40811,10.06585,19.35111,0.8992,0.0446,0.0562,0.052,0.1048,0.0482,0.3396,0.0424,0.0836,0.0482,0.3396
220,7575.91688,9.16407,18.13041,0.7942,0.1614,0.0444,0.168,0.3394,0.0312,0.3266,0.1252,0.2682,0.0312,0.3266,6656.63232,8.2575,17.09602,0.7358,0.2412,0.023,0.2546,0.5146,0.0166,0.1594,0.1906,0.4144,0.0166,0.1594,1322.19131,10.15792,19.8032,0.9056,0.087,0.0074,0.093,0.1888,0.0066,0.0546,0.0744,0.1648,0.0066,0.0546,2967.70419,10.06333,19.39078,0.9034,0.0498,0.0468,0.0568,0.1172,0.0336,0.347,0.043,0.0968,0.0336,0.347
221,8505.60554,8.99719,17.71192,0.7734,0.1538,0.0728,0.1762,0.3644,0.0402,0.348,0.1262,0.2818,0.0402,0.348,7985.97064,8.18315,16.981,0.7282,0.234,0.0378,0.2742,0.5474,0.0184,0.1712,0.1976,0.4352,0.0184,0.1712,1749.62529,10.13594,19.75367,0.9,0.085,0.015,0.092,0.2044,0.0068,0.0586,0.075,0.1766,0.0068,0.0586,3127.82888,9.89488,18.98588,0.8774,0.0466,0.076,0.0568,0.1212,0.0426,0.3634,0.0418,0.1,0.0426,0.3634
222,7436.5779,9.37791,18.47689,0.8146,0.1482,0.0372,0.1496,0.3088,0.0358,0.3346,0.1076,0.2458,0.0358,0.3346,6813.71602,8.19562,17.021,0.733,0.2478,0.0192,0.2342,0.5222,0.018,0.1614,0.176,0.4264,0.018,0.1614,1093.69722,10.15696,19.74677,0.906,0.088,0.006,0.084,0.1914,0.0066,0.054,0.0684,0.1712,0.0066,0.054,2454.30196,10.21204,19.70913,0.914,0.0478,0.0382,0.0494,0.1108,0.038,0.3528,0.0382,0.0894,0.038,0.3528
