run,TP.c,TP.q,TP.lyg,TP.death.other,TP.death.stroke,TP.death.bleed,TP.stroke.dep,TP.stroke.indep,TP.bleed.ich,TP.bleed.nich,TP.count.p.dep,TP.count.p.indep,TP.count.p.ich,TP.count.p.nich,FN.c,FN.q,FN.lyg,FN.death.other,FN.death.stroke,FN.death.bleed,FN.stroke.dep,FN.stroke.indep,FN.bleed.ich,FN.bleed.nich,FN.count.p.dep,FN.count.p.indep,FN.count.p.ich,FN.count.p.nich,TN.c,TN.q,TN.lyg,TN.death.other,TN.death.stroke,TN.death.bleed,TN.stroke.dep,TN.stroke.indep,TN.bleed.ich,TN.bleed.nich,TN.count.p.dep,TN.count.p.indep,TN.count.p.ich,TN.count.p.nich,FP.c,FP.q,FP.lyg,FP.death.other,FP.death.stroke,FP.death.bleed,FP.stroke.dep,FP.stroke.indep,FP.bleed.ich,FP.bleed.nich,FP.count.p.dep,FP.count.p.indep,FP.count.p.ich,FP.count.p.nich
754,6860.43036,8.26782,15.80315,0.8008,0.151,0.0482,0.1742,0.3024,0.0312,0.2932,0.1294,0.248,0.0312,0.2932,6136.34051,7.58838,15.07884,0.7516,0.2252,0.0232,0.2578,0.447,0.017,0.1326,0.1922,0.3686,0.017,0.1326,720.13463,9.27494,17.37572,0.9178,0.075,0.0072,0.0888,0.1558,0.0072,0.0464,0.0718,0.1356,0.0072,0.0464,2060.93112,9.10472,16.85385,0.9054,0.0432,0.0514,0.0542,0.1018,0.0334,0.3166,0.0424,0.0838,0.0334,0.3166
755,7529.55434,8.43078,15.94878,0.8142,0.144,0.0418,0.1294,0.3278,0.0312,0.2976,0.0906,0.25,0.0312,0.2976,6124.21867,7.53866,14.96648,0.7486,0.2302,0.0212,0.1884,0.5302,0.0168,0.138,0.1442,0.431,0.0168,0.138,770.35435,9.32382,17.43678,0.921,0.0734,0.0056,0.0612,0.174,0.0062,0.0426,0.049,0.1554,0.0062,0.0426,2322.83208,9.19551,17.00126,0.919,0.0374,0.0436,0.0302,0.1018,0.0334,0.3218,0.024,0.0856,0.0334,0.3218
756,6348.15727,8.52281,16.14873,0.816,0.1244,0.0596,0.1348,0.2566,0.0296,0.272,0.099,0.2116,0.0296,0.272,5796.45149,7.68396,15.21245,0.7612,0.2104,0.0284,0.2164,0.4498,0.0118,0.1204,0.1632,0.381,0.0118,0.1204,855.83046,9.32191,17.3897,0.9232,0.0676,0.0092,0.0688,0.1494,0.0032,0.0396,0.0572,0.1332,0.0032,0.0396,1638.61654,9.1999,16.98576,0.9032,0.034,0.0628,0.0328,0.0846,0.0314,0.292,0.0278,0.0716,0.0314,0.292
757,7143.61805,8.54942,16.24239,0.8224,0.1332,0.0444,0.1454,0.2518,0.0364,0.298,0.1064,0.2034,0.0364,0.298,6116.47134,7.54917,15.00882,0.7568,0.222,0.0212,0.2308,0.4302,0.0202,0.1332,0.1798,0.3632,0.0202,0.1332,1146.34216,9.27318,17.39515,0.9154,0.0772,0.0074,0.0796,0.154,0.0078,0.0484,0.0666,0.1414,0.0078,0.0484,2902.78837,9.20569,17.07639,0.9156,0.038,0.0464,0.0402,0.0886,0.0384,0.3178,0.0328,0.0774,0.0384,0.3178
758,7797.76764,8.49853,16.06588,0.824,0.132,0.044,0.1298,0.278,0.055,0.2814,0.095,0.223,0.055,0.2814,5830.84062,7.51486,14.94384,0.7466,0.2326,0.0208,0.218,0.4884,0.0256,0.125,0.1652,0.4054,0.0256,0.125,684.93848,9.29696,17.39649,0.9202,0.0742,0.0056,0.0692,0.1586,0.0082,0.0408,0.0558,0.1442,0.0082,0.0408,2912.72097,9.14271,16.93649,0.9186,0.0356,0.0458,0.0322,0.0886,0.0574,0.2988,0.0266,0.0744,0.0574,0.2988
759,7495.54878,8.40705,16.03528,0.813,0.1442,0.0428,0.1666,0.2714,0.039,0.297,0.126,0.2192,0.039,0.297,6191.93283,7.50648,14.93149,0.7498,0.2296,0.0206,0.2492,0.4314,0.0198,0.131,0.1928,0.3624,0.0198,0.131,1120.19452,9.30183,17.43678,0.9188,0.0758,0.0054,0.0828,0.1464,0.0058,0.04,0.0674,0.1306,0.0058,0.04,3055.57021,9.20239,17.08083,0.9144,0.0412,0.0444,0.0496,0.0926,0.0416,0.317,0.0386,0.0778,0.0416,0.317
760,7399.97253,8.34659,15.9677,0.808,0.1544,0.0376,0.171,0.3026,0.0388,0.2744,0.123,0.246,0.0388,0.2744,5884.04432,7.44146,14.83537,0.7408,0.2406,0.0186,0.257,0.4754,0.02,0.1268,0.1908,0.3916,0.02,0.1268,1046.13838,9.29814,17.40798,0.923,0.0724,0.0046,0.0734,0.1488,0.0064,0.04,0.0616,0.1314,0.0064,0.04,3006.76255,9.21907,17.11846,0.9212,0.0384,0.0404,0.041,0.0898,0.0418,0.2996,0.0322,0.077,0.0418,0.2996
761,6520.04552,8.62292,16.23737,0.8334,0.1166,0.05,0.1254,0.2482,0.0338,0.3114,0.092,0.1984,0.0338,0.3114,6642.06597,7.60292,15.1429,0.765,0.209,0.026,0.2172,0.4606,0.0184,0.1504,0.1726,0.3928,0.0184,0.1504,761.67625,9.30135,17.42223,0.9212,0.0708,0.008,0.0718,0.1576,0.0074,0.0492,0.061,0.1434,0.0074,0.0492,2605.18993,9.19587,17.0371,0.9142,0.0332,0.0526,0.035,0.0804,0.035,0.3284,0.0278,0.0662,0.035,0.3284
762,6034.73594,8.60796,16.25333,0.8362,0.1228,0.041,0.1406,0.2464,0.0404,0.2838,0.1032,0.1992,0.0404,0.2838,5611.26574,7.56341,15.07413,0.7634,0.2176,0.019,0.232,0.4516,0.0198,0.127,0.184,0.3814,0.0198,0.127,728.73001,9.30796,17.38847,0.9284,0.0664,0.0052,0.0708,0.1448,0.0074,0.0414,0.059,0.1302,0.0074,0.0414,2379.65838,9.26921,17.15635,0.9244,0.0334,0.0422,0.034,0.0784,0.0416,0.2992,0.028,0.0666,0.0416,0.2992
763,5585.10678,8.59114,16.19877,0.8232,0.122,0.0548,0.1224,0.2544,0.023,0.2644,0.0884,0.2066,0.023,0.2644,5338.37552,7.61263,15.12904,0.7572,0.2174,0.0254,0.2008,0.4728,0.0106,0.1188,0.1612,0.3966,0.0106,0.1188,1071.41114,9.2859,17.36325,0.9186,0.0726,0.0088,0.0684,0.1572,0.0034,0.0404,0.0558,0.1418,0.0034,0.0404,2606.4793,9.1994,16.97784,0.91,0.0344,0.0556,0.0308,0.0824,0.023,0.2738,0.0254,0.0714,0.023,0.2738
764,7152.01295,8.4734,16.01589,0.8092,0.134,0.0568,0.127,0.2754,0.0364,0.2678,0.0938,0.2222,0.0364,0.2678,6238.61013,7.55188,14.97466,0.741,0.23,0.029,0.2018,0.4792,0.017,0.125,0.1592,0.3982,0.017,0.125,1003.45737,9.2669,17.29621,0.9154,0.0758,0.0088,0.0664,0.1606,0.0054,0.0424,0.0572,0.1418,0.0054,0.0424,2734.00842,9.1512,16.8891,0.9036,0.0376,0.0588,0.0342,0.0932,0.0378,0.28,0.028,0.0766,0.0378,0.28
765,6965.66412,8.2318,15.61202,0.7836,0.1734,0.043,0.1588,0.3346,0.033,0.3252,0.116,0.2602,0.033,0.3252,7002.16247,7.50882,14.8062,0.7294,0.249,0.0216,0.2252,0.4862,0.0176,0.1546,0.1686,0.3898,0.0176,0.1546,1153.13329,9.28182,17.35448,0.914,0.0804,0.0056,0.074,0.1626,0.007,0.0476,0.0596,0.137,0.007,0.0476,2970.60213,9.14729,16.96729,0.9078,0.0458,0.0464,0.0464,0.1052,0.0364,0.3564,0.0368,0.0848,0.0364,0.3564
766,6678.10125,8.35501,15.79253,0.7896,0.1652,0.0452,0.1352,0.29,0.0386,0.2966,0.1006,0.2358,0.0386,0.2966,5893.8915,7.47029,14.64689,0.722,0.257,0.021,0.1996,0.4526,0.0194,0.1296,0.1566,0.3758,0.0194,0.1296,1045.76754,9.26735,17.2797,0.9082,0.0852,0.0066,0.0706,0.151,0.0076,0.045,0.0568,0.1338,0.0076,0.045,2144.40652,9.19259,17.0127,0.9054,0.0474,0.0472,0.044,0.0974,0.0406,0.3156,0.0332,0.0804,0.0406,0.3156
767,7608.73077,8.39742,15.8272,0.8092,0.1444,0.0464,0.144,0.2414,0.0438,0.297,0.1048,0.1962,0.0438,0.297,6046.79338,7.3582,14.62481,0.7258,0.2524,0.0218,0.2284,0.4364,0.0214,0.1304,0.1794,0.3712,0.0214,0.1304,1065.58848,9.29073,17.37472,0.9148,0.0792,0.006,0.0682,0.1448,0.0076,0.043,0.0596,0.1314,0.0076,0.043,2407.66133,9.13504,16.87006,0.9128,0.038,0.0492,0.036,0.0786,0.0464,0.318,0.0298,0.0682,0.0464,0.318
